Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP0000,34429,56921,Salaried,24,Single,0,537,4,0.41,103171,56152,2125598,12,Education,Semi-Urban,Graduate,Male,Private,0
APP0001,104294,19797,Business,41,Single,4,309,1,0.46,466198,42351,2427351,36,Home,Semi-Urban,Postgraduate,Male,Govt,0
APP0002,135577,32535,Self-Employed,57,Married,3,872,1,0.22,258189,1554507,4736740,360,Business,Urban,Undergraduate,Female,Govt,1
APP0003,108074,46300,Self-Employed,22,Single,0,829,2,0.34,428873,1763976,4987172,12,Home,Urban,Postgraduate,Male,Private,0
APP0004,88936,47176,Salaried,27,Married,1,897,1,0.08,222815,227977,3090149,60,Personal,Semi-Urban,Undergraduate,Male,Private,1
APP0005,77378,16105,Salaried,36,Single,4,477,3,0.54,316095,1792495,4843453,36,Personal,Urban,Postgraduate,Female,Govt,0
APP0006,57310,7939,Salaried,37,Single,2,305,4,0.64,275896,1433097,4103344,12,Business,Semi-Urban,Postgraduate,Male,Private,1
APP0007,121827,79472,Business,40,Married,3,606,2,0.29,122339,60616,4623274,24,Home,Urban,Undergraduate,Female,Private,0
APP0008,186328,42029,Self-Employed,43,Single,3,847,3,0.06,411656,1815357,1446629,360,Business,Semi-Urban,Graduate,Male,Private,0
APP0009,119862,15863,Self-Employed,54,Married,1,626,3,0.15,49864,1203545,306072,60,Home,Rural,Graduate,Male,Private,0
APP0010,58889,78097,Salaried,31,Married,2,655,3,0.44,185763,1333730,4320801,36,Education,Urban,Graduate,Male,Govt,0
APP0011,71428,10447,Business,54,Married,2,694,0,0.42,77035,1543227,225748,84,Personal,Semi-Urban,Undergraduate,Male,Self,0
APP0012,130502,46940,Self-Employed,53,Married,4,599,3,0.52,91675,1694686,3428458,240,Business,Urban,Undergraduate,Female,Self,0
APP0013,188279,77947,Salaried,46,Married,3,825,0,0.2,478519,1199762,403784,84,Education,Semi-Urban,Graduate,Male,Private,1
APP0014,70255,19642,Salaried,22,Single,0,584,1,0.51,289487,1854058,4454421,24,Education,Semi-Urban,Postgraduate,Male,Govt,1
APP0015,125824,67643,Salaried,43,Married,1,629,0,0.46,229320,1294885,1105677,24,Business,Semi-Urban,Undergraduate,Male,Private,0
APP0016,25409,7928,Salaried,42,Single,1,349,3,0.24,24673,283269,2471791,180,Business,Semi-Urban,Graduate,Male,Self,0
APP0017,62438,48002,Salaried,54,Married,1,677,4,0.38,196026,487310,3593687,180,Education,Rural,Postgraduate,Female,Private,0
APP0018,27869,25017,Salaried,35,Married,1,899,4,0.14,190770,443612,3858102,84,Home,Urban,Undergraduate,Male,Govt,0
APP0019,45958,79064,Salaried,30,Single,0,837,1,0.32,362168,1224494,3756196,360,Education,Urban,Graduate,Female,Private,1
APP0020,170840,13313,Self-Employed,35,Married,0,443,3,0.58,31520,413612,297117,120,Business,Rural,Postgraduate,Female,Self,0
APP0021,177217,1559,Salaried,49,Married,4,359,0,0.3,250195,354805,2337758,12,Education,Semi-Urban,Graduate,Male,Private,0
APP0022,95622,50893,Salaried,43,Single,3,374,4,0.55,282928,781444,3969257,240,Home,Rural,Undergraduate,Female,Private,0
APP0023,46442,15167,Salaried,37,Married,0,302,2,0.4,384590,516941,3892996,60,Personal,Semi-Urban,Undergraduate,Male,Private,0
APP0024,101948,38598,Salaried,29,Married,4,874,3,0.17,43079,612404,4766587,240,Personal,Rural,Undergraduate,Male,Private,0
APP0025,45596,7523,Self-Employed,56,Married,2,747,3,0.4,49220,119233,2024299,24,Education,Semi-Urban,Graduate,Male,Govt,0
APP0026,95791,49777,Salaried,29,Single,3,574,2,0.35,156563,1465366,3329270,180,Home,Semi-Urban,Undergraduate,Female,Private,0
APP0027,62406,28439,Salaried,36,Single,0,829,4,0.29,117878,1925163,459759,120,Personal,Rural,Undergraduate,Female,Govt,0
APP0028,60524,13285,Self-Employed,56,Single,2,891,2,0.12,121583,1964851,3315742,48,Education,Semi-Urban,Graduate,Male,Private,0
APP0029,174404,10973,Salaried,53,Single,4,514,1,0.3,53720,13869,4936545,36,Education,Urban,Undergraduate,Female,Private,0
APP0030,130160,22694,Self-Employed,51,Married,0,784,0,0.09,236876,459410,3536822,48,Home,Urban,Graduate,Male,Private,1
APP0031,166836,35774,Salaried,26,Married,0,628,0,0.11,19718,586455,57749,48,Business,Urban,Postgraduate,Male,Govt,1
APP0032,178635,4302,Salaried,30,Single,2,554,4,0.3,433813,1760083,2486746,360,Education,Urban,Graduate,Male,Private,0
APP0033,187442,22391,Business,36,Married,0,686,2,0.23,328361,1292334,3800559,360,Business,Urban,Graduate,Female,Private,1
APP0034,25062,4611,Business,24,Married,1,425,3,0.61,496567,667482,1719351,180,Business,Semi-Urban,Graduate,Male,Govt,0
APP0035,64645,9372,Self-Employed,42,Married,0,883,3,0.28,367812,1223475,1470947,48,Personal,Semi-Urban,Postgraduate,Male,Govt,0
APP0036,142759,24312,Salaried,33,Married,3,849,3,0.5,162904,1717271,4473520,60,Business,Semi-Urban,Graduate,Male,Govt,0
APP0037,27244,14080,Salaried,36,Single,2,623,1,0.37,453034,251536,4762871,24,Home,Semi-Urban,Postgraduate,Male,Self,0
APP0038,157444,20874,Self-Employed,49,Married,3,503,1,0.47,233470,1898584,4658903,48,Personal,Urban,Graduate,Male,Private,0
APP0039,105501,62537,Salaried,26,Married,4,471,3,0.21,411080,545965,4060738,120,Personal,Urban,Graduate,Male,Private,1
APP0040,137450,73914,Salaried,46,Married,3,516,4,0.62,93378,421439,690546,36,Personal,Urban,Postgraduate,Female,Govt,0
APP0041,36956,1597,Salaried,31,Single,1,544,1,0.37,13177,423030,3876500,12,Education,Semi-Urban,Postgraduate,Male,Private,0
APP0042,191545,11600,Salaried,44,Married,1,635,1,0.55,182187,125662,1111757,180,Education,Urban,Graduate,Male,Self,0
